CompName,StartDateTime,EndDateTime,ElapsedTime,Model,TSID,TSName,OSDResults,FailureReason,SlowSite,USMTBackup,USMTRestore
PC0482,10/8/2018 14:24,10/8/2018 16:12,107.87,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0483,10/8/2018 15:23,10/8/2018 16:15,51.58,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0484,10/8/2018 15:28,10/8/2018 16:25,56.92,HP ProDesk 600 G3 MT,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0485,10/8/2018 15:11,10/8/2018 16:26,74.58,HP Compaq Pro 6300 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0486,10/8/2018 15:42,10/8/2018 16:37,55.42,HP ProDesk 400 G3 DM,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0487,10/8/2018 15:24,10/8/2018 16:38,73.43,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Send Hardware Inventory. ,TRUE,FALSE,TRUE
PC0488,10/8/2018 15:24,10/8/2018 16:49,85.05,HP Z240 Tower Workstation,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0490,10/8/2018 15:57,10/8/2018 17:13,75.55,HP EliteBook 840 G5,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Failure,Send Hardware Inventory. ,TRUE,FALSE,TRUE
PC0491,10/8/2018 15:55,10/8/2018 17:14,79.12,VMware Virtual Platform,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0492,10/8/2018 15:54,10/8/2018 17:18,84.02,VMware Virtual Platform,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0493,10/8/2018 16:19,10/8/2018 17:19,59.87,HP ProDesk 400 G3 DM,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0494,10/8/2018 15:55,10/8/2018 17:33,97.73,HP ProDesk 600 G3 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,TRUE
PC0495,10/8/2018 16:58,10/8/2018 17:59,61.27,HP ProDesk 400 G3 DM,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0496,10/8/2018 16:44,10/8/2018 18:01,76.32,HP EliteBook Folio 1040 G1,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0497,10/8/2018 16:50,10/8/2018 18:09,79.15,HP EliteBook 840 G3,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0498,10/8/2018 17:13,10/8/2018 18:11,58.68,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0499,10/8/2018 17:13,10/8/2018 18:12,58.98,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
PC0500,10/8/2018 17:13,10/8/2018 18:12,58.47,HP ProDesk 600 G1 SFF,MM100001,MiSCUG Demo - Windows (64bit) v 0.0,Success,Success,FALSE,FALSE,FALSE
